feature,gain,split
street,21551969.40835178,16166
day_of_week,427012.39458060265,6119
hour_of_day,4450515.563028097,8281
month,61209.928373128176,3748
is_weekend,101430.76256918907,520
hour_sin,960035.100748241,2417
hour_cos,1827986.7330908477,2119
