rating,review_count,price_level,latitude,longitude,avg_review_rating,recent_review_count,social_twitter_mentions,social_twitter_engagement,social_twitter_influencer_mentions,social_twitter_mention_velocity,social_instagram_mentions,social_instagram_engagement,current_month,current_day_of_week,current_is_weekend,current_season,is_near_holiday,rating_normalized,rating_squared,review_count_log,has_many_reviews,rating_review_score,rating_confidence,recent_vs_overall_rating,review_velocity_7d,review_velocity_30d,review_acceleration,social_mention_growth,rating_trend,rating_improving,competition_density,nearby_high_rated,market_saturation,price_vs_median,is_premium,is_budget,rating_vs_mean,rating_percentile,is_top_rated,twitter_mentions_log,has_twitter_presence,twitter_engagement_log,twitter_engagement_rate,has_influencer_mentions,influencer_mention_ratio,instagram_mentions_log,has_instagram_presence,location_cluster,foot_traffic_estimate,nearby_attractions,rating_price_interaction,value_score,traditional_vs_social,is_hot_spot
0,0,0,38.9154205,-77.0317015,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.8914406,-77.0860668,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.909472,-77.0455821,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1
0,0,0,38.9094669,-77.0459245,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9094741,-77.0456867,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
0,0,0,38.9295977,-77.0553144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0.0,0.5006009615384616,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0
